curated_collection,document_id,path,repository_id,metadata_type,title,added,document_created,document_updated
bibliophilly,5026,0023/lewis_e_116,0023,TEI,"Book of Hours, Use of Rome",2017-09-18T17:06:52+00:00,2017-09-18T14:49:34+00:00,2018-01-11T18:56:37+00:00
bibliophilly,5222,0023/lewis_e_026,0023,TEI,De consideratione (On Consideration),2017-10-17T20:50:02+00:00,2017-10-13T19:26:43+00:00,2018-01-11T18:56:36+00:00
bibliophilly,5228,0023/lewis_e_045,0023,TEI,"Bible, with glossa ordinaria",2017-10-17T20:50:02+00:00,2017-10-16T15:47:01+00:00,2018-01-11T18:56:36+00:00
bibliophilly,5227,0023/lewis_e_046,0023,TEI,Biblical commentary on the Old Testament--I Kings - Esther,2017-10-17T20:50:02+00:00,2017-10-16T15:47:01+00:00,2018-01-11T18:56:36+00:00
bibliophilly,5229,0023/lewis_e_053,0023,TEI,Biography of Petrarch; Glosse de libris meteororum (Gloss on the Book of Meteors); Glosse de libris meteororum IV (Gloss on the Book of Meteors IV),2017-10-17T20:50:02+00:00,2017-10-16T15:54:22+00:00,2018-01-11T18:56:36+00:00
bibliophilly,5230,0023/lewis_e_066,0023,TEI,Epistolae ad familiares (Letters to friends),2017-10-17T20:50:02+00:00,2017-10-16T20:40:54+00:00,2018-01-11T18:56:36+00:00
bibliophilly,5231,0023/lewis_e_117,0023,TEI,"Book of Hours, Use of Rome",2017-10-17T20:50:02+00:00,2017-10-16T20:57:28+00:00,2018-01-11T18:56:37+00:00
bibliophilly,5233,0023/lewis_e_054,0023,TEI,De primo bello punico (On the first Punic War),2017-10-17T20:50:02+00:00,2017-10-17T15:39:29+00:00,2018-01-11T18:56:36+00:00
bibliophilly,5234,0023/lewis_e_120,0023,TEI,"Book of Hours, use of Rome",2017-10-17T20:50:02+00:00,2017-10-17T16:05:17+00:00,2018-01-11T18:56:37+00:00
bibliophilly,5236,0023/lewis_e_121,0023,TEI,"Book of Hours, Use of Rome",2017-10-17T20:50:02+00:00,2017-10-17T16:45:30+00:00,2018-01-11T18:56:37+00:00
bibliophilly,5237,0023/lewis_e_123,0023,TEI,"Book of Hours, Use of Rouen",2017-10-17T20:50:02+00:00,2017-10-17T19:48:34+00:00,2018-01-11T18:56:37+00:00
bibliophilly,5302,0023/lewis_e_068,0023,TEI,Chronica summorum pontificum et imperatorum romanorum (Chronicle of Popes and Emperors),2017-10-23T20:44:29+00:00,2017-10-20T18:31:38+00:00,2018-01-11T18:56:36+00:00
bibliophilly,5307,0023/lewis_e_082,0023,TEI,Vitae patrum (Lives of the Fathers),2017-10-23T20:44:29+00:00,2017-10-20T19:34:36+00:00,2018-01-11T18:56:36+00:00
bibliophilly,5314,0023/lewis_e_092,0023,TEI,"Book of Hours, use of Paris",2017-10-23T20:44:29+00:00,2017-10-23T13:51:59+00:00,2018-01-11T18:56:36+00:00
bibliophilly,5317,0023/lewis_e_124,0023,TEI,"Book of Hours, Use of Rouen",2017-10-23T20:44:29+00:00,2017-10-23T15:03:14+00:00,2018-01-11T18:56:37+00:00
bibliophilly,5316,0023/lewis_e_129,0023,TEI,"Book of Hours, Use of Utrecht",2017-10-23T20:44:29+00:00,2017-10-23T15:02:53+00:00,2018-01-11T18:56:37+00:00
bibliophilly,5325,0023/lewis_e_151,0023,TEI,Religious manual,2017-10-24T20:28:17+00:00,2017-10-23T18:11:48+00:00,2018-01-11T18:56:37+00:00
bibliophilly,5324,0023/lewis_e_133,0023,TEI,"Book of Hours, Use of Troyes",2017-10-24T20:28:17+00:00,2017-10-23T18:03:46+00:00,2018-01-11T18:56:37+00:00
bibliophilly,5327,0023/lewis_e_130,0023,TEI,"Book of Hours, Use of Utrecht; Scenes from the Life of Christ",2017-10-24T20:28:17+00:00,2017-10-23T20:26:01+00:00,2018-01-11T18:56:37+00:00
bibliophilly,5331,0023/lewis_e_131,0023,TEI,"Book of Hours, Use of Utrecht",2017-10-24T20:28:17+00:00,2017-10-24T15:45:04+00:00,2018-01-11T18:56:37+00:00
bibliophilly,5330,0023/lewis_e_165,0023,TEI,Compendium logicae (Compendium of logic),2017-10-24T20:28:17+00:00,2017-10-24T14:58:56+00:00,2018-01-11T18:56:37+00:00
bibliophilly,5329,0023/lewis_e_255,0023,TEI,Devotional extracts from the bible,2017-10-24T20:28:17+00:00,2017-10-24T14:45:39+00:00,2018-01-11T18:56:37+00:00
bibliophilly,5402,0023/lewis_e_127,0023,TEI,"Book of Hours, Use of Soissons?",2017-10-30T20:29:48+00:00,2017-10-27T20:04:48+00:00,2018-01-11T18:56:37+00:00
bibliophilly,5404,0023/lewis_e_132,0023,TEI,"Book of Hours, Use of Utrecht",2017-10-30T20:29:48+00:00,2017-10-27T21:00:18+00:00,2018-01-11T18:56:37+00:00
bibliophilly,5411,0023/lewis_e_158,0023,TEI,"Noted Missal, Dominican use",2017-10-30T20:29:48+00:00,2017-10-30T16:53:09+00:00,2018-01-11T18:56:37+00:00
bibliophilly,5413,0023/lewis_e_025,0023,TEI,De forma honestae vitae; De institutione monachorum,2017-10-30T20:29:48+00:00,2017-10-30T18:10:33+00:00,2018-01-11T18:56:36+00:00
bibliophilly,5451,0023/lewis_e_166,0023,TEI,Summa de virtutibus (Treatise on the virtues); Summa vitiorum (Treatise on the vices),2017-11-03T19:27:05+00:00,2017-10-31T13:55:17+00:00,2018-01-11T18:56:37+00:00
